name,category,area,city,full_address,phone,google_rating,review_count,website_status,notes,source_url,call_ready,priority_score
Pankaj Guitar Keyboard,Music,Laxmi Nagar,Delhi,"Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,Guitar/keyboard/harmonium; phone verified,https://www.urbanpro.com/delhi/pankaj/5978207,no,45
Penultimate Institute NEET,IIT_NEET,Pitampura,Delhi,"CD block market near Pitampura metro station, Delhi 110052",,,,urbanpro_only,Affordable NEET; Mohit Rana Chemistry; UrbanPro,https://www.urbanpro.com/delhi/penultimate-institute-pitampura/8719570,no,45
Ramanjeet S IELTS Noida,Spoken_English,Sector 45,Noida,"Sector 45, Noida 201303",,,,urbanpro_only,Cambridge CELTA/British Council/IDP IELTS trainer; UrbanPro,https://www.urbanpro.com/noida/ramanjeet,no,45
Ravi Kumar Chemistry,IIT_NEET,Dwarka Sector 9,Delhi,"Sector 9, Dwarka, Delhi 110077",,,,urbanpro_only,Chemistry JEE/NEET/boards home tutor; phone verified,https://www.urbanpro.com/delhi/ravi-kumar/6851306,no,45
Ravindra K Chemistry IIT NEET,IIT_NEET,Dwarka Sector 4,Delhi,"Sector 4, Dwarka, Delhi 110078",,,,urbanpro_only,IIT Delhi PhD Chemistry; JEE/NEET; phone on UrbanPro,https://www.urbanpro.com/delhi/ravindra-k,no,45
Rotten Guitars East Delhi,Music,Preet Vihar,Delhi,"A-4 Khosla Complex, Near Preet Vihar Metro, Delhi 110092",,,,urbanpro_only,Guitar/western vocal/harmonium; phone verified,https://www.urbanpro.com/delhi/rotten-guitars-in-east-delhi-preet-vihar/12245597,no,45
Saif Ali Khan Music,Music,Laxmi Nagar,Delhi,"Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,Vocal + instruments; DU music; UrbanPro,https://www.urbanpro.com/delhi/saif-ali-khan/25984545,no,45
Shashi Kant Spoken English,Spoken_English,Srinagar Garden,Delhi,"Srinagar Garden, Delhi 110034",,,,urbanpro_only,Spoken English (+ beginner guitar); phone verified,https://www.urbanpro.com/delhi/shashi-kant/25764935,no,45
Srijan Institute Dwarka,IIT_NEET,Dwarka Sector 8,Delhi,"Sector-8 Dwarka near Medical Council of India, Delhi 110059",,,,urbanpro_only,JEE Main/Advanced + NEET small batches; UrbanPro,https://www.urbanpro.com/delhi/srijan-institute-dwarka/640583,no,45
Tansen Sangeet Mahavidyalaya South Extn,Music,South Extension Part 1,Delhi,"3rd Floor, Building No. 76, Amrit Nagar, South Ex Part 1, Delhi 110049",,,,urbanpro_only,Vocal/kathak/guitar/keyboard/tabla; phone verified UrbanPro,https://www.urbanpro.com/delhi/tansen-sangeet-mahavidyalaya-south-extn/12305164,no,45
Topper Super Sixty,IIT_NEET,Saket,Delhi,"I/18, Tanki Road, Block I, Saket, Delhi 110017 (Landmark Mithapur)",,,,urbanpro_only,NEET + IIT-JEE; phone verified UrbanPro,https://www.urbanpro.com/delhi/topper-super-sixty-saket/11517910,no,45
V-JEE Institute,IIT_NEET,Sector 6,Gurgaon,"615 Dayanand Colony / Old Railway Road area, Sector 6, Gurgaon 122006",,,,urbanpro_only,Small Gurgaon JEE/NEET centre; UrbanPro,https://www.urbanpro.com/gurgaon/v-jee-institute-sector-6/7986570,no,45
Vijay Dubey IELTS,Spoken_English,Greater Noida Sector 1,Noida,"Sector 1 Greater Noida, Noida 201301",,,,urbanpro_only,TEFL/TESOL IELTS 15+ yrs; phone verified,https://www.urbanpro.com/noida/vijay-dubey-tefl-tesol-certified-trainer-with-15-years-of-experience,no,45
Vijay Kumar Music Teacher,Music,Laxmi Nagar,Delhi,"Laxmi Nagar Block D, Delhi 110092",,,,urbanpro_only,Tabla/keyboard/guitar/harmonium/vocal; phone verified,https://www.urbanpro.com/delhi/vijay-batala,no,45
